POPS_Number,Name,Street,Zipcode,Latitude,Longitude,Borough,Borocode,Type,Location,Open_Hours,Seating,Seating_and_Tables,Food_Service,Art,Restrooms,Special_Amenities,Special_Amenities_Description,Signage,Landscaping_Description,Landscaping,Physically_Disabled,Year_Completed,Construction_Status,Size_Required,Community Board,Developer,Building_Architect,Principal_Public_Space_Designer,XCoordinate,YCoordinate,Council District,Census Tract,BIN,BBL,NTA,Tax_Block_Number,Tax_Lot_Number
M010045,Barclays Bank,WALL STREET,10005,-74.008119,40.705041,Manhattan,1,Arcade; Non-Bonused Public Open Space; Urban Plaza,South side of Wall Street between Water and Pearl Streets,24 Hours,Yes,Yes,NULL,No,NULL,Yes,Bicycle Parking,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1987,Completed,Arcade 5179.25 sf; Non-Bonused Public Open Space 0.00 sf; Urban Plaza 7017.50 sf,1,NULL,Welton Becket Associates,Welton Becket Associates; M. Paul Friedberg & Partners,981999,196142,1,7,1085950,1000317501,Battery Park City-Lower Manhattan,31,7501
M050050,NULL,PARK AVENUE,10167,-73.974723,40.754626,Manhattan,1,Arcade; Plaza,Full block bounded by Lexington and Park Avenues and East 46th and 47th Streets,24 Hours,Yes,Yes,NULL,No,NULL,Yes,Bicycle Parking; Lighting; Litter Receptacles,Yes,Planting,Yes,Full/Partial,1966,Completed,Arcade 10401.75 sf; Plaza 19137.80 sf,5,Percy and Harold Uris,"Shreve, Lamb & Harmon","Shreve, Lamb & Harmon; Moed de Armas & Shannon Architects (for alteration in 2002 and 2008)",991253,214208,4,92,1036205,1013010001,Turtle Bay-East Midtown,1301,1
M080053,Continental Towers,EAST 79 STREET,10075,-73.954245,40.773327,Manhattan,1,Plaza,"Northeast corner of Second Avenue and East 79th Street. Original BBL: 1542/1101-1545,12,49.",24 Hours,Yes,Yes,NULL,No,NULL,Yes,Lighting; Litter Receptacles,Yes,Planting; Trees within Space,Yes,Full/Partial,1977,Completed,Plaza 8810.20 sf,8,79th Associates,Philip Birnbaum and Mathews Nielsen,M. Paul Friedberg; Bill Bott and Mathews Nielsen (for alteration in 2003),996923,221024,5,138,1049261,1015427501,Yorkville,1542,7501
M050062,Fifth Avenue Tower,FIFTH AVENUE,10016,-73.981752,40.751588,Manhattan,1,Urban Plaza,Northeast corner of East 39th Street and  Fifth Avenue,24 Hours,Yes,No,NULL,No,NULL,Yes,Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1985,Completed,Urban Plaza 2263.00 sf,5,NULL,Emery Roth & Sons,Weintraub & di Domenico,989306,213101,4,82,1017603,1008697501,Murray Hill-Kips Bay,869,7501
M050085,Metropolitan Tower,WEST 57 STREET,10019,-73.97929,40.764719,Manhattan,1,Through Block Connection; Urban Plaza,South side of West 57th Street between Sixth and Seventh Avenues,24 Hours; Restricted Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1986,Completed,Through Block Connection 0.00 sf; Urban Plaza 4375.00 sf,5,Harry Macklowe,Schuman Lichtenstein Claman Efron,Schuman Lichtenstein Claman Efron,989987,217885,4,137,1085969,1010097501,Midtown-Midtown South,1009,7501
M050097,NULL,SEVENTH AVENUE,10019,-73.982843,40.76052,Manhattan,1,Public Plaza; Underground Passageway,East side of Seventh Avenue between West 49th and 50th Streets,Restricted Hours,Yes,Yes,Yes,No,NULL,NULL,Elevator; Food Service; Lighting; Subway,Yes,Planting; Trees within Space; Water Feature,Yes,Full/Partial,1999,Completed,Public Plaza 15648.00 sf; Underground Passageway 0.00 sf,5,"Rockefeller Group Development Corp., Morgan Stanley Dean Witter & Co.",Kohn Pedersen Fox Associates,Kohn Pedersen Fox Associates,989003,216355,4,125,1084667,1010020001,Midtown-Midtown South,1002,1
M010028,Goldman Sachs,BROAD STREET,10004,-74.011054,40.703993,Manhattan,1,Arcade; Publicly Accessible Lobby; Sidewalk Widening; Urban Plaza,Full blockfront on east side of Broad Street between Pearl and South William Streets,24 Hours; Restricted Hours,Yes,No,NULL,No,NULL,NULL,Lighting; Litter Receptacles; Retail Frontage,Yes,Trees on Street; Trees within Space,Yes,Full/Partial,1983,Completed,Arcade 12930.00 sf; Publicly Accessible Lobby 0.00 sf; Sidewalk Widening 3600.00 sf; Urban Plaza 9630.00 sf,1,Galbreath-Ruffin Corp.,"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill",981185,195760,1,9,1066031,1000290001,Battery Park City-Lower Manhattan,29,1
M010010,Wall Street Plaza,PINE STREET,10005,-74.006168,40.705662,Manhattan,1,Special Permit Plaza,"Bounded by Front Street, Water Street, and Maiden Lane",24 Hours,Yes,No,NULL,Yes,NULL,NULL,Subway,No,Trees within Space; Water Feature,Yes,Full/Partial,1971,Completed,Special Permit Plaza 9907.00 sf,1,NULL,I.M. Pei and Partners; C.Y. Tung/Morley Cho,I.M. Pei and Partners; C.Y. Tung/Morley Cho,982540,196368,1,7,1000876,1000380017,Battery Park City-Lower Manhattan,38,17
M070016,The Harmony/David Rubenstein Atrium,WEST 62 STREET,10023,-73.982837,40.771115,Manhattan,1,Covered Plaza,North side of West 62nd Street between Broadway and Columbus Avenue,Closing for Events; Restricted Hours,Yes,Yes,Yes,No,Yes,NULL,Climate Control; Drinking Fountain; Elevator; Food Service; Lighting; Programs; Restrooms; Retail Frontage,Yes,Planting; Trees on Street,Yes,Full/Partial,1979,Completed,Covered Plaza 6906.00 sf,7,The Harkness Company,Philip Birnbaum/John Gillis,M. Paul Friedberg & Partners; Tod Williams Billie Tsien (for alteration in 2008),989004,220215,3,149,1027461,1011157502,Lincoln Square,1115,7502
M080003,NULL,FIFTH AVENUE,10075,-73.963201,40.777041,Manhattan,1,Plaza,Northeast corner of Fifth Avenue and East 79th Street,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1967,Completed,Plaza 2879.50 sf,8,NULL,Paul Resnick & Harry F. Green,Paul Resnick & Harry F. Green,994442,222376,4,142,1046426,1014910001,Upper East Side-Carnegie Hill,1491,1
M080029,Windsor,EAST 71 STREET,10021,-73.956257,40.766642,Manhattan,1,Plaza,Full blockfront on east side of First Avenue between East 70th and 71st Streets,24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1979,Completed,Plaza 7297.86 sf,8,NULL,"Schuman, Lichtenstein, Claman","Schuman, Lichtenstein, Claman",996367,218588,5,124,1045808,1014650001,Lenox Hill-Roosevelt Island,1465,1
M010023,NULL,WASHINGTON STREET,10006,-74.01485,40.708074,Manhattan,1,Plaza,"Bounded by Washington, West, and Rector Streets",24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Lighting,Yes,Planting; Trees within Space,Yes,Full/Partial,1968,Completed,Plaza 8789.00 sf,1,NULL,Fred Safran,Fred Safran,980133,197247,1,13,1000793,1000170029,Battery Park City-Lower Manhattan,17,29
M010011,NULL,MAIDEN LANE,10005,-74.005515,40.705269,Manhattan,1,Enclosed Public Space; Outdoor Public Space,"Full block bounded by South Street, Front Street, Pine Street, and Maiden Lane",24 Hours; Restricted Hours,Yes,Yes,Yes,Yes,Yes,NULL,Climate Control; Drinking Fountain; Escalator; Food Service; Litter Receptacles; Programs; Restrooms; Retail Frontage,Yes,Planting; Trees within Space,Yes,Full/Partial,1982,Completed,Enclosed Public Space 14442.00 sf; Outdoor Public Space 6678.00 sf,1,NULL,Swanke Hayden Connell; Kohn Pedersen Fox,Swanke Hayden Connell; Kohn Pedersen Fox; Thomas Balsley Associates (for Outdoor Public Space); Perkins Eastman (2015 Design Change),982721,196225,1,7,1000874,1000370023,Battery Park City-Lower Manhattan,37,23
M060066,NULL,UNITED NATIONS PLAZA,10017,-73.967642,40.7531,Manhattan,1,Arcade; Residential Plaza,North side of East 48th Street between First and Second Avenues/ West side of First Avenue between East 48th and 49th Streets,24 Hours,Yes,No,NULL,No,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Full/Partial,1985,Completed,Arcade 0.00 sf; Residential Plaza 12093.00 sf,6,NULL,"Schuman, Lichtenstein, Claman, Efron/Der Scutt",Thomas Balsley,993215,213653,4,90,1039205,1013417503,Turtle Bay-East Midtown,1341,7503
M010041,NULL,WATER STREET,10038,-74.005129,40.706362,Manhattan,1,Open Pedestrian Area; Special Permit Arcade,"Full block bounded by Water, John, Front, and Fletcher Streets",24 Hours,No,No,NULL,No,NULL,NULL,Retail Frontage,No,Planting; Trees within Space,Yes ,Full/Partial,1984,Completed,Open Pedestrian Area 0.00 sf; Special Permit Arcade 0.00 sf,1,Howard Ronson,Fox & Fowle Architects,Fox & Fowle Architects,982828,196623,1,15.02,1001137,1000717501,Battery Park City-Lower Manhattan,71,7501
K130001,Seaside Park & Community Arts Center,BOARDWALK WEST,11224,-73.98806,40.572811,Brooklyn,3,Open-Air Auditorium; Public Open Space,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Full/Partial,0,Completed,NULL,13,NULL,"Gerner Kronick + Valcarcel, pc","Michael Van Valkenburgh Associates, Inc.",987567,147967,47,352,3426960,3070710142,Seagate-Coney Island,7071,142
M050095,Tower 49,EAST 49 STREET,10017,-73.977022,40.757231,Manhattan,1,Arcade; Public Access Passageway; Sidewalk Widening; Urban Plaza,South side of East 49th Street between Madison and Fifth Avenues,24 Hours; Restricted Hours,Yes,Yes,NULL,No,NULL,NULL,Lighting; Litter Receptacles,Yes,Planting; Trees on Street; Trees within Space,Yes,Full/Partial,1984,Completed,Arcade 3779.00 sf; Public Access Passageway 0.00 sf; Sidewalk Widening 998.00 sf; Urban Plaza 6387.00 sf,5,Solstead Associates (David and Jean Solomon),"Skidmore, Owings & Merrill","Skidmore, Owings & Merrill; Thomas Balsley Associates (for alteration in 2004)",990616,215157,4,94,1035434,1012840007,Midtown-Midtown South,1284,7
M080101,The Easton,EAST 92 STREET,10128,-73.95031,40.782666,Manhattan,1,Non-Bonused Open Area; Public Plaza,South of East 93rd Street between Second Avenue and Third Avenue,24 Hours,Yes,Yes,NULL,Yes,NULL,NULL,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street; Trees within Space; Water Feature,Yes,Unknown,2016,Completed,Non-Bonused Open Area 0.00 sf; Public Plaza 10678.00 sf,8,Related Companies,Handel Architects,Starr Whitehouse Landcape,998011,224427,5,154,1090174,1015387501,Yorkville,1538,7501
M050016,NULL,PARK AVENUE,10022,-73.971328,40.761495,Manhattan,1,Plaza,Southwest corner of Park Avenue and East 57th Street,24 Hours,Yes,No,NULL,No,NULL,NULL,Lighting,No,Planting; Trees on Street; Water Feature,Yes,Full/Partial,1971,Completed,Plaza 3900.00 sf,5,Peter Sharp,Emery Roth & Sons,Emery Roth & Sons,992193,216711,4,112.02,1035780,1012920037,Midtown-Midtown South,1292,37
M050032,HarperCollins,EAST 53 STREET,10022,-73.975317,40.759813,Manhattan,1,Plaza; Through Block Arcade,South side of East 53rd Street between Madison and Fifth Avenues,24 Hours; Restricted Hours,Yes,Yes,NULL,Yes,NULL,NULL,Bicycle Parking; Climate Control; Lighting; Litter Receptacles; Retail Frontage,Yes,Planting; Trees on Street,Yes,Full/Partial,1971,Completed,Plaza 2890.00 sf; Through Block Arcade 3723.50 sf,5,Percy and Harold Uris,"Emery Roth & Sons; TPG Architects, LLP (for alteration in 2014)","Emery Roth & Sons; Thomas Balsley Associates (for alteration in 2014); TPG Architecture, LLP (2015 Design Change)",991088,216098,4,102,1035709,1012880007,Midtown-Midtown South,1288,7
M080073,NULL,EAST END AVENUE,10028,-73.946952,40.772792,Manhattan,1,Plaza,"Northwest corner of East End Avenue and East 82nd Street. Additional lots: 1579/19, 21, 22-26, 32, 34.",24 Hours,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,Full/Partial,1972,Completed,Plaza 7273.67 sf,8,NULL,Russell M. Boak Associates; Philip Birnbaum,Russell M. Boak Associates; Philip Birnbaum,998943,220830,5,136,1051164,1015790023,Yorkville,1579,23
