Name,Street_Address,Zipcode,Latitude,Longitude,Type,Location,Description,Open_Hours,Seating,Seating_and_Tables,Seating_Description,Food_Service,Food_Service_Description,Art,Restrooms,Restrooms_Description,Indoor_Location,Special_Amenities,Special_Amenities_Description,Signage,Signage_Description,Landscaping_Description,Accessibility,Year_Completed,Construction_Status,Subject_To_Downtown_PLN,Tax_Block_Number,Tax_Lot_Number,Parcel_Number,Current_Police_District,Current_Supervisor_District,Analysis_Neighborhood,Neighborhood
180 Howard St,180 Howard St,"28,855",-122.3922193,37.79073351,Pedestrian Walkways,NULL,A cul-de-sac walkway with benches at the end.,24 Hours,NULL,NULL,12 linear seats,Yes,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,Trees and wall of planters with tall grass.,Direct,1980,Null,No,3717,20,3717020,1,10,8,108
456 Montomery St,456 Montgomery St,"28,860",-122.4027974,37.79363998,Plaza,NULL,"This is a sunken plaza, landscaped with flowers and small water fountains. Escalators are provided to this space.",24 Hours,Yes,NULL,"72' linear seating, 8 movable chairs and 2 tables",No,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,"Few spare plantings, water feature",Indirect,1983,Null,No,239,12,239012,6,3,8,108
49 Stevenson St,49 Stevenson St,"28,855",-122.39938,37.78993,Pedestrian Walkway,In front of building on Stevenson Street and through a pedestrianized alley to Jessie Street,This pedestrian walkway has small fountains and an art sculpture are featured in this space. Plaza seating is available for patrons of Yank Sing restaurant only.,24 Hours,Yes,NULL,"20 chairs, taken inside before 5pm at time of last site visit.",Yes,NULL,Yes,Yes,Restaurant,NULL,NULL,NULL,No,Null,"No plants, some interesting paving",Direct,1984,Null,No,3708,40,3708040,6,10,8,108
50 Beale St,50 Beale St,"28,855",-122.3969164,37.79160342,Plaza,NULL,Large well landscaped plaza with many seating options.,24 Hours,Yes,NULL,40 bench seats; 100+ linear feet of planter seating,No,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,"30+ trees, large open planters, attracts birds",Less direct,1968,Null,No,3710,18,3710018,6,10,8,108
Marriott Courtyard - A (Starbucks),299 2nd St,"28,855",-122.39684,37.78577,Snippet,Bench next to entrance setback 15 feet on 2nd Street.  Per Thayer:  Benches on sidewalk setback on Folsom.,"Thayer referenced something that is not part of the open space requirement, this is pedestrian improvement requirement.  Per Thayer:  This open space has benches and landscaping along the sidewalk on Folsom at street level.",Restricted Hours,Yes,NULL,6 linear seats on two benches along sidewalk,NULL,Café across street in hotel lobby,No,Yes,NULL,NULL,NULL,NULL,Yes,One next to door of Starbucks. Somewhat removed from the street.,"Street trees, planters with bushes, flowers",Direct,2001,Null,Yes,3736,29,3736029,1,10,8,32
425 Market St,425 Market St,"28,855",-122.3985102,37.79111153,Urban Garden,NULL,"An open plaza between buildings with benches, trees and some landscape materials.",24 Hours,Yes,NULL,"8 backed benches at 7'8""; 4 6' benches",Yes,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,"15 trees, 12 large planters with flowers",Direct,1973,Null,No,3709,14,3709014,6,10,8,108
200 California St,200 California St,"28,860",-122.39889,37.79347,Public Sitting Area in Pedestrian Walkway,"In front of building, sidewalk widening","This pedestrian seating area is on a widened sidewalk. Pedestrians may sit on linear seating that forms a planter box. There is a small, public sculpture next to the planter box.",24 Hours,Yes,NULL,24 linear,No,NULL,Yes,No,NULL,NULL,NULL,NULL,Yes,Null,planter box. Good diversity and volume of plants,Direct,1990,Null,Yes,237,6,237006,6,3,8,108
Foundry Square NE,400 Howard St,"28,855",-122.396,37.7888,Plaza,Corner of 1st and Howard,"This is one of three plazas fronting the intersection of 1st and Howard, forming Foundary Square. It features art sculptures and seating near a cafe.",24 Hours,Yes,NULL,"20 linear seats, 24 movable",Yes,NULL,Yes,No,NULL,NULL,NULL,NULL,Yes ,Null,8 trees,Direct,2008,Null,Yes,3720,8,3720008,1,10,8,32
100 1st St,100 1st St,"28,855",-122.39797,37.7891,"Sun Terrace, Indoor Park, Snippet",Sun Terrace is on second floor above adjoining parking garage SE of main building. Ground level arcade is on Mission Street side.,"The large Sun Terrace features extensive landscaping and seating. Several art sculptures are featured, along with an elevated view of the street below. There is a 'grand' staircase (snippet) up to the Sun Terrace. Ground level arcade in front of building",24 Hours,Yes,Yes,"52 movable seats at 10 tables plus numerous areas to sit along built-in benches and planters, grassy areas.",NULL,At ground level,Yes,No,NULL,NULL,NULL,NULL,Yes,1 small one,"Many trees and plants, water feature, fake grass for sitting.","Indirect, ""grand"" staircase",1985,Null,No,3721,1,3721001,1,10,8,32
Gap Building,2 Folsom St,"28,855",-122.3912118,37.79122985,Urban Garden,In front of 2 Folsom,This is a large plaza with several seating areas. Art sculptures are featured along with diverse landscaping.,24 Hours,Yes,NULL,76 seats,No,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,Trees and plants,Direct,2001,Null,Yes,3741,35,3741035,1,10,8,108
Marathon Plaza,303 Second St,"28,856",-122.3957,37.78522,Urban Garden,In front of building facing Second Street,"Large, triangular urban garden facing Second Street with a water feature, ample seating, and lush landscaping. Deli and restaurant open to the park provide food and additional seating.",24 Hours,Yes,NULL,"33 tables with 66 movable chairs, >200' bench seating",Yes,NULL,Yes,Yes,NULL,NULL,NULL,NULL,No,Null,"Real grass lawns, some planters, large water feature",Direct,1982,Null,No,3749,62,3749062,1,10,8,30
345 California St - A,345 California St,"28,854",-122.40046,37.79306,Plaza,Plaza in front of building main entrance.,"This open space is provided in the form of a large plaza fronting California Street. Additionally, two snippets can be found on the west and east sides of the building, connected by an interior walkway. The plaza and east snippet are served by restaurant",24 Hours,Yes,NULL,"14 chairs, 5 tables, 50' linear seating",NULL,Sandwich shop and café,No,No,NULL,NULL,NULL,NULL,No,Null,Planters with a few trees,Direct,1986,Null,Yes,261,18,261018,6,3,8,108
301 Howard St,301 Howard St,"28,855",-122.3942667,37.78968512,Urban Garden,NULL,Landscaped seating area located kitty-corner to 301 Howard.,24 Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,Null,NULL,NULL,1981,Null,No,3738,12,3738012,1,10,8,32
Foundry Square NW,500 Howard St,"28,855",-122.39631,37.78854,Plaza,Corner of 1st and Howard,"This is one of three plazas on the 1st and Howard intersection, forming Foundry Square. This space features a sculpture, landscape, and seating near food services.",24 Hours,Yes,Yes,"44 linear seating on ledges, 21 seating on planter box, 7 tables 28 chairs",Yes,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Location not publicly conspicuous,"8 trees, palm plant planters,",Direct,2003,Null,Yes,3721,119,3721119,1,10,8,32
Golden Gate University,536 Mission St,"28,855",-122.3986814,37.78915139,Snippet,Along Mission Street.,Concrete seating streches along the passage that connects the recessed entrance of Golden Gate University to the sidewalk on Mission Street.,24 Hours,Yes,No,200+ ft. of linear bench,No,NULL,No,Yes,NULL,NULL,NULL,NULL,No,Null,No,Direct,1972,Null,No,3708,98,3708098,6,10,8,108
221 Main St,221 Main St,"28,855",-122.3925458,37.79015362,Plaza,NULL,"An open plaza with some seating, landscaping and planters.",24 Hours,Yes,NULL,24' of linear seats.,No,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,Succulents and grasses,Direct,1974,Null,No,3740,34,3740034,1,10,8,108
150 California St,150 California St,"28,860",-122.39864,37.79361,Sun Terrace,6th Floor,"This view terrace is located six stories above the street level. There is a large sculpture, long periods of sunlight, and several types of seating. There are extensive views of the surrounding area.",Restricted Hours,Yes,Yes,9 tables with 36 movable chairs. ~82 ledge seats,No,NULL,Yes,No,NULL,NULL,NULL,NULL,Yes,One at the entrance with directions,"Abundant purple plantings, but they take up majority of space. Some tall skinny trees, which provide minimal shade of space definition. Art installation is engaging.",Indirect,2000,Null,Yes,236,19,236019,6,3,8,108
Hampton Inn,942 Mission Street,"28,853",-122.407839,37.78219483,View Terrace,"Accessible through elevator (check-in at front desk), located at the rooftop.","Rooftop sun and view terrace, with 360 degree views of the city; with limited seating benches.",Restricted Hours,Yes,NULL,"Yes- 6 benches, with a capacity of 74 persons, 4 tables.",No,NULL,No,Yes,NULL,NULL,NULL,NULL,Yes,Null,"6 empty planters, great views of skyline",Indirect,2015,Null,Yes,3704,15,3704015,5,10,34,32
211 Main St,211 Main St,"28,855",-122.3928858,37.7903972,Plaza,NULL,Open plaza with two benches and a gated children's play area through to Spear Street.,24 Hours,Yes,NULL,50' linear seats.,No,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,Shrubs and some trees,Direct,1973,Null,No,3740,33,3740033,1,10,8,108
55 Second St - C,55 Second St,"28,855",-122.400283,37.789,Atrium,Entrance from Stevenson Street,NULL,Restricted Hours,Yes,NULL,4 benches (8 seats) along walls of gallery space.,No,NULL,Yes,Yes,Through main lobby at reception desk (ID required),Yes,NULL,NULL,Yes,Null,"A few planters, interesting paving, Art on walls.",NULL,2002,Null,Yes,3708,96,3708096,6,10,8,108
55 Second St - A,55 Second St,"28,855",-122.400283,37.789,Indoor Park,"Located inside the historic building, up a set of 3-4 steps. Can be accessed through the main lobby (walk past the elevator bay) and through entrances from Jessie and Stevenson Streets.","This large, indoor ""park"" located inside the historia building has a wooden floor, tables with chairs, and large, comfortable leather chairs on a carpeted section near the large window looking out on Stevenson Street.",Restricted Hours,Yes,NULL,62 movable chairs and 27 bench seats,No,NULL,Yes,Yes,Located in hallway between lobby and indoor park,Yes,Yes,"Games: giant Connect4, ping pong, cornhole",Yes,At all three building entrances,Increase in potted plant number and variety,NULL,2002,Null,Yes,3708,96,3708096,6,10,8,108
77 Van Ness Ave,77 Van Ness Ave,"28,852",-122.41971,37.77613,Indoor Park,Inside the lobby,This space is in the front lobby of 77 Van Ness. It has tables and chairs and features a sculpture.,Restricted Hours,Yes,Yes,3 tables with 9 movable chairs,No,NULL,Yes,Yes,NULL,Yes,NULL,NULL,Yes,"One sign on street, facing 90 degrees away from street. Removed in evenings in early mornings",None,Direct,2002,Null,Yes,834,32,834032,4,11,9,21
Spear Street Plaza,160 Spear St,"28,855",-122.3933711,37.79154685,Urban Garden,Outdoor alleyway off of Spear Street,Well landscaped walkway with seating and tables.,24 Hours,Yes,NULL,Ledges around green spaces and 28 movable chairs around 7 tables.,Yes,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,"Diverse grasses, trees, and green wall.",Very Direct,1983,Null,No,3717,5,3717005,1,10,8,108
Foundry Square SW (indoor),505-525 Howard St (200 1st St),"28,855",-122.3961,37.7882,Indoor Park,Near main building entrance facing the outdoor POPOS.,"Indoor park, with art garden, seating, and a café.",Restricted Hours,Yes,NULL,"25 movable seats, 6 tables, 47 linear bench seats",NULL,Café,No,Yes,NULL,Yes,Yes,Café area with wifi,Yes,Null,8 trees,Direct,2008,Null,Yes,3736,114,3736114,1,10,8,32
Marriott Courtyard - C,299 2nd St,"28,855",-122.39669,37.78611,Interior courtyard area - does not appear to be public (see notes),Inside the hotel courtyard.,This space features extensive landscaping with several art attractions. Comfortable seating arrangements are located throughout the space. Food service nearby inside the hotel.,Restricted Hours,Yes,Yes,42 chairs with tables,NULL,"Restaurant service nearby, starbucks outside",Yes,"Yes, hotel",NULL,NULL,NULL,NULL,No,Null,Trees and flowers,Indirect,2001,Null,Yes,3736,27,373627,1,10,8,32
1 Post St,1 Post St,"28,854",-122.4026464,37.78862256,Snippet,NULL,Snippets surrounding the hexagonal fence of Montgomery Bart Station sunken plaza. This space include concrete steps with some planter boxes.,24 Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Null,NULL,NULL,1969,Null,No,259,26,259026,6,3,8,19
Empire Park,642 Commercial St,"28,860",-122.40384,37.79428,Urban Park,Along commercial street and at 642 commercial st,"Empire park, located at 642 Commercial, is an urban garden that features a water fountain and landscaping. Along Commercial in front of Empire park, there are many widened sidewalk spaces which have benches and landscaping.",Restricted Hours,Yes,Yes,"15 chairs w/ tables, 8 bench seats in the park, 8 along commercial.",NULL,"There is food service serving the commercial street POPOS, but not directly serving that of Empire park.",No,No,NULL,NULL,NULL,NULL,Yes,"Sign is not in compliance, too small, unclear hours, outdated logo.",Water fountain and lots of plants and shade. Diversity of trees.,Direct. Gate at sidewalk open during daylight hours.,1988,Null,Yes,227,31,227031,6,3,6,104
235 Second St,235 Second St,"28,855",-122.39721,37.78618,"Plaza, Indoor Park","Urban garden: corner of 2nd and Clementina, indoor park ground floor.","This plaza is located on the corner of 2nd St. and Clementina St. It features several types of seating, served by a cafe.",Restricted Hours,Yes,Yes,42 chairs and 15 tables,Yes,NULL,Yes,No,NULL,Yes,NULL,NULL,Yes,Null,"Bamboo and street trees protect space from side street, defines space. Indoor park has bushes and interesting paving.",Direct for plaza. Indirect for indoor park,2002,Null,Yes,3736,123,3736123,1,10,8,32
50 California St,50 California St,"28,860",-122.3975305,37.79380746,Snippet,NULL,Plaza and wrap around walkway with seating along planters.,24 Hours,Yes,NULL,"14 movable chairs, 117 linear ft. of bench, another 30' on other side of building",NULL,Starbucks,Yes,No,NULL,NULL,NULL,NULL,No,Null,"Good tree cover and plantings, define space and provide shade",Direct,1970,Null,No,235,22,235022,6,3,8,108
Foundry Square SE,405 Howard St,"28,855",-122.39566,37.78852,Plaza,Corner of 1st and Howard,"This is one of three plazas on the 1st and Howard intersection, forming Foundry Square. This space features a sculpture, landscape, and seating near food services.",Restricted Hours,Yes,NULL,"44 movable chairs, 45 linear seats on planter boxes sides.",Yes,NULL,Yes,No,NULL,NULL,NULL,NULL,Yes ,"1, far away from space",8 trees,Direct,2005,Null,Yes,3737,30,3737030,1,10,8,32
201 Mission St,201 Mission St,"28,855",-122.3951609,37.79096222,Urban Garden,NULL,Initially hidden from street view there is seating along the building setback area to the right as you walk toward the door.,24 Hours,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,Null,NULL,Direct,1960,Null,No,3718,26,3718026,1,10,8,108
14 Fremont St,14 Fremont St,"28,855",-122.397889,37.79076641,Pedestrian Walkways,NULL,This open space is a through walkway between Fremont and 1rst Street that opens into an interior plaza.  A farmers market was operating on location.,24 Hours,Yes,NULL,"13 large tables, 27 small tables, 16 bench seats, 106 movable chairs",Yes,NULL,No,Yes,NULL,NULL,NULL,NULL,No,Null,~20 small succulent planter boxes,Direct,1983,Null,No,3709,20,3709020,6,10,8,108
595 Market St,595 Market St,"28,855",-122.4007273,37.78900186,Plaza,NULL,This plaza is located on 2nd. Street and Stevenson. Seating is only available on the steps beyon the table and seating provided for the food establishment.,24 Hours,NULL,No,Public seating only on stairs. Restaurant dominates space with private seating,Yes,NULL,No,No,NULL,NULL,NULL,NULL,No,Null,No landscaping or spatial definition,Direct,1979,Null,Voluntary POPOS,3708,43,3708043,6,10,8,108
222 2nd St,222 2nd St,"28,855",-122.39823,37.78638,Greenhouse,Ground floor lobby,"An enclosed open space, with operable floor to ceiling windows and doors; located within the street-level lobby.",Restricted Hours,Yes,Yes,"63 movable chairs, 15 tables, 300+ linear ft. of seating",Yes,Café ,Yes,Yes,NULL,Yes,Yes,Wifi,Yes,Null,"No plants, but warm wood walls, striking art.",Direct,2016,Null,Yes,3735,63,3735063,1,10,8,32
101 2nd St,101 2nd St,"28,855",-122.39953,37.78803,Greenhouse,Ground/Mezz level at 2nd/Mission,"This greenhouse features large trees, windows, and art. It has two levels of space and is served by a cafe.",Restricted Hours,Yes,Yes,"25 linear seats on bench/  ledge. 23 tables, 69 movable chairs",NULL,Café,Yes,Yes,Through main lobby at reception desk (ID required),Yes,NULL,NULL,Yes,"2, one at each street entrance",4 large trees and plants,Indirect,2000,Null,Yes,3721,89,3721089,1,10,8,32
25 Jessie St,25 Jessie St,"28,855",-122.398796,37.78961221,Pedestrian Walkways,NULL,This urban garden include a water feature combined with a tall art piece. Seating available on the ledeges of raised water feature.,24 Hours,Yes,Yes,Ledges around the water feature (>100 linear feet),No,Some in adjecent alley,No,Yes,Would have had to go through security,NULL,NULL,NULL,No,Null,"Great variety of plants, water feature, elevated planters with tall trees draw eye up",Slightly indirect (one side fenced),1983,Null,No,3708,97,3708097,6,10,8,108
135 Main St,135 Main St,"28,855",-122.394112,37.79142819,Indoor Park,"Located in main lobby waiting area, at building's main entrance.",Interior lobby with seating open business hours only.,Restricted Hours,Yes,NULL,"Ample indoor seating: four tables with movable chairs, seven lounge sofas",No,NULL,Yes,No,NULL,Yes,NULL,NULL,No,Null,"Waterfall on glass, some white noise effect.",Indirect,1982,Null,No,3717,12,3717012,1,10,8,108
1 California St,1 California St,"28,860",-122.3972841,37.79335343,Snippet,NULL,Wrap around plaza area with seating near food services.,24 Hours,Yes,NULL,12 tables with 46 non-movable chairs. 38 linear ft. seating,NULL,2 cafes,No,No,NULL,NULL,NULL,NULL,No,Null,"One tree, minimal.",Direct,1970,Null,No,264,4,264004,6,3,8,108
123 Mission St,123 Mission St,"28,855",-122.39423,37.79219,Urban Garden,plaza in front of the building,This large plaza features extensive landscaping and art. Seperate seating areas with seating characterize the area.,24 Hours,Yes,NULL,122 linear seats,Yes,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,trees and waterfall,Direct,1986,Null,Yes,3717,23,3717023,1,10,8,108
555/557 Market St,555/557 Market St,"28,855",-122.4001579,37.78975722,Urban Garden,NULL,"Extensive landscaping combined with water features signify this space between two high rises. Seating,however, is only availabe to employees.",24 Hours,NULL,No,No Seating,No,NULL,No,Yes,NULL,NULL,NULL,NULL,No,Null,"Diverse plants, grasses, and water feature.",Direct,1965,Null,No,3708,174,3708174,6,10,8,108
350 Mission St,350 Mission St,"28,855",-122.396685,37.791,"Interior open space at ground level, specific type not specified in motion (Greenhouse?)",Lobby entrance,"An enclosed open space, with operable sliding glass doors that open up to street frontage; located within the street-level lobby.",Open Business Hous,Yes,NULL,35 linear bench seats + amphitheater seating (original estimate at 85 seats total),No,NULL,No,No,NULL,Yes,Yes,Amphitheater,Yes,Outside at front door,fake trees and grass indoors,Direct,2011,Null,Yes,3710,17,3710017,6,10,8,108
Foundry Square SW (outdoor),505-525 Howard St (200 1st St),"28,855",-122.3961,37.7882,Plaza,Near main building entrance facing the outdoor POPOS.,"Street level outdoor plaza with fixed and flexible seating, tables, and maple trees",Restricted Hours,Yes,NULL,"25 movable seats, 6 tables, 47 linear bench seats",Yes,Café ,No,Yes,NULL,NULL,NULL,NULL,Yes,Null,8 trees,Direct,2008,Null,Yes,3736,114,3736114,1,10,8,32
181 Fremont,181 Fremont,"28,855",-122.395367,37.789785,Indoor Park,NULL,NULL,NULL,Yes,NULL,"~20 movable seats around 6 tables. Some are high stools and tables, some are lounge seats around coffee tables.",NULL,Andytown Coffee,Sculpture outside.,Yes,NULL,Yes,NULL,NULL,Yes,"Code compliant signs on street, in elevator, in space.","2 trees along wall, interesting paving",Through lobby to 7th floor of building or from Salesforce Park.,2015,Null,Yes,3719,450,3719450,1,10,8,32
Westfield Sky Terrace (Wesfield Center Mall),845 Market St,"28,853",-122.40652,37.78473,Sun Terrace,"Roof top, 9th floor. Accessible by elevator in 835 Market St (only 1st elevator goes to 9th floor).","This extensive 9th floor rooftop space looks onto the dome of the mall and has views westward and sunlight. It does not have direct food service, but food may be found in the food court below in the mall.",Restricted Hours,Yes,NULL,"32 tables, 47 movable chairs, 11 movable cushioned chairs, 15 cushioned bench seats",No,Food on premises,No,No,NULL,NULL,NULL,NULL,Yes,Null,Wall planters and 15 basic planters. Great views.,Very indirect,2006,Null,Yes,3705,54,3705054,5,10,34,32
650 California St,650 California St,"28,857",-122.4052002,37.79305037,Plaza,NULL,This open space is elevated with the street slope. A large art piece represents one entrance to the open space on California Street. This space surrounds the building and offers seating on the ledges of planter boxes.,24 Hours,Yes,No,NULL,No,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Null,NULL,Indirect,1965,Null,No,241,25,241025,6,3,6,104
Trinity Alley,333 Bush St,"28,854",-122.402717,37.790618,Pedestrian Walkways,Within the public right of way,Alley way with ample seating and greenery outside multiple restaurants.,24 Hours,Yes,NULL,~ 50 linear seats with movable tables.,Yes,All along the alley,No,No,NULL,NULL,NULL,NULL,No,Null,"Living plant wall, trees, tall grasses.",Very Direct,1983,Null,No,288,32,288032,6,3,8,19
Millenium Tower Plaza,301 Mission St,"28,855",-122.39656,37.79052,"Atrium, Plaza",Ground level.,"This atrium features extensive artwork and is served by a bar/restaurant on the premises. It has various types of seating with tables, and high windows overhead.",Restricted Hours,Yes,NULL,41 movable chairs and 24 linear seats,Yes,NULL,Yes,Yes,No restriction or lock.,Yes,NULL,NULL,Yes,"Small, non-compliant plaque outside door","4 trees with lights, 10 medium plants",Indirect for Atrium. Unknown for Plaza,2005,Null,Yes,3719,20,3719020,1,10,8,32
345 California St - East B,345 California St,"28,854",-122.40005,37.79286,Snippet,"Two snippets on either side of building main entrance, connected by walkway.","Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the B",24 Hours,Yes,Yes,"15 chairs, 5 tables, 50' linear seating",NULL,Sandwich shop and café,No,No,NULL,NULL,NULL,NULL,No,Null,Planters with a few trees,Direct,1986,Null,Yes,261,17,261017,6,3,8,108
Redwood Park,535 Washington St,"28,860",-122.402168,37.79505236,Urban Park,NULL,"This extensively landscaped urban park offers redwood trees at the foot of the Transamerica Pyramid. It features, a tall water fountain, sculptures, and ample seating.",Restricted Hours,Yes,Yes,"100+ linear seats on boxes, room for 30+ on steps. No movable.",No,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,"Many redwood trees, diverse ground cover and plantings, flowers, shrubs. Multiple smaller spaces defined within park",Direct,1972,Null,No,207,33,207033,6,3,6,108
"Embarcadero Center West 1, 2, & 3",1-5 Embarcadero Center,"28,860",-122.40125,37.79446,Pedestrian walkway on ground and 2nd levels,Commercial Street between Drumm and Sansome,"Commercial Street throughout Embarcadero 1, 2, and 3 is a pedestrian mall on ground floor and 2nd level, which is accessed by an elaborate staircase system, flanked by waterfalls. Fountains, foliage, art work, and bench seating found throughout.",24 Hours,Yes,Yes,"30 tables, 107 chairs, plus planter-side seating, benches.",Yes,NULL,Yes,No,NULL,NULL,NULL,NULL,No,Null,"Trees, ferns, arbor, planters","Direct, indirect",1985,Null,No,233,44,233044,6,3,6,108
199 Fremont St,199 Fremont St,"28,855",-122.39491,37.78967,Urban Garden,On the howard street frontage,"This large plaza space features extensive rock landscaping and artwork. There are two adjoined areas, one of which has food service.",24 Hours,Yes,NULL,Rock planter box seating. Approx 114 linear seats plus 17 individual rocks,NULL,Café,Yes,No,NULL,NULL,NULL,NULL,Yes,On Fremont entrance side,"15 trees, large planters, boulders",Direct,2000,Null,Yes,3719,18,3719018,1,10,8,32
Marriott Courtyard - B (Starbucks),299 2nd St,"28,855",-122.39668,37.78576,Snippet,Snippet below grade with stair entry on corner of 2nd & Folsom and wheelchair entry on Folsom.,"This open space has a small sitting space below street level on the corner of Folsom and Second, served by a café.",Restricted Hours,Yes,NULL,15 chairs,NULL,Café,No,None,NULL,NULL,NULL,NULL,Yes,One next to door of starbucks. Somewhat removed from the street.,"Street trees, planters with bushes, flowers",Direct,2001,Null,Yes,3736,29,3736029,1,10,8,32
